Name,Department,Affiliation,Homepage,Matched Areas
Agustín Fernández,Polytechnic University of Catalonia,Polytechnic University of Catalonia,http://engineering.academickeys.com/browse_whoswho_by_institution/Polytechnic_University_of_Catalonia?&start=104,"hpca, micro"
Ahad N. Zehmakan,Australian National University,Australian National University,https://comp.anu.edu.au/people/ahad-zehmakan,"aaai, icde, ijcai, kdd"
Ahmad Biniaz,University of Windsor,University of Windsor,http://www.uwindsor.ca/science/computerscience/1151/dr-ahmad-biniaz,soda
Ahmad-Reza Sadeghi,TU Darmstadt,TU Darmstadt,https://www.trust.informatik.tu-darmstadt.de/people/ahmad-reza-sadeghi,"ccs, dac, emsoft, eurocrypt, eurosys, iccad, mobisys, ndss, oakland, pets, usenixatc, usenixsec"
Ahmed Ali-Eldin,Chalmers/GU,Chalmers/GU,http://www.chalmers.se/en/Staff/Pages/ahmh.aspx,"eurosys, hpdc, sc, sensys, sigmetrics, www"
Ahmed E. Hassan,Queen’s University,Queen’s University,http://www.cs.queensu.ca/~ahmed,"ase, fse, icse"
Ahmed El Alaoui,Cornell University,Cornell University,https://elalaoui.stat.cornell.edu,"focs, nips, stoc"
Ahmed El-Roby,Carleton University,Carleton University,https://people.scs.carleton.ca/~ahmedelroby,"eccv, sigmod, vldb"
Ahmed Eldawy,Univ. of California - Riverside,Univ. of California - Riverside,https://www.cs.ucr.edu/~eldawy,"icde, sigmod, vldb"
Ahmed H. Qureshi,Purdue University,Purdue University,https://www.cs.purdue.edu/people/faculty/qureshi7.html,"iclr, icra, iros, rss"
Ahmed Helmy,UNC - Charlotte,UNC - Charlotte,http://www.cise.ufl.edu/~helmy,sensys
Ahmed Imteaj,SIU Carbondale,SIU Carbondale,https://sites.google.com/view/ahmedimteaj,cvpr
Ahmed Karmouch,University of Ottawa,University of Ottawa,http://www.site.uottawa.ca/~karmouch,hpdc
