institution,latitude,longitude,street_address,city,zip_code,country
IMDEA Software Institute,-33.80272,150.98608,Institute Road,Sydney,2145,Australia
Atlanta Botanical Garden,40.367702,-99.471886,US Highway 6 & 34,Atlanta,68923,United States
Lawrence Berkeley National Labortatory,37.85096,-122.27077,Adeline Street,Berkeley,94703,United States
"U.s. Coast Guard, Department Of Homeland Security",38.90253,-77.03938,K Street Northwest,Washington,20006,United States
Infinite Cooling Inc.,43.073196,-89.38219,East Doty Street,Madison,53703,United States
Ziker Enterprises Llc,37.282806,-121.87851,Sunbonnet Court,San Jose,95125,United States
Thermocap Laboratories Inc,45.417248,-122.6232,Southeast Hager Lane,Milwaukie,97267,United States
University Of California San Diego (Ucsd),32.748447,-117.12988,University Avenue,San Diego,92104,United States
"Learning Network, Llc, The",33.12757,-96.68066,Natchez Trace,Allen,75013,United States
"The Graduate Center, City University Of New York",40.71275,-74.006,Broadway,New York,10007,United States
Westminster University,40.74146,-111.83806,1300 South,Salt Lake City,84108,United States
USP,-23.560965,-46.727707,Avenida Professor Luciano Gualberto,São Paulo,05508-010,Brazil
University of Oklahoma,35.195988,-97.44571,West Timberdell Road,Norman,73019,United States
University of Potsdam,52.388847,13.119794,Lilian-Harvey-Straße,Potsdam,14482,Germany
